Nazwa dewelopera;Forma prawna dewelopera;Nr KRS;Nr wpisu do CEiDG;Nr NIP;Nr REGON;Nr telefonu;Adres poczty elektronicznej;Nr faxu;Adres strony internetowej dewelopera;Województwo adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera;Powiat adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera;Gmina adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera;Miejscowość adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera;Ulica adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera;Nr nieruchomości adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera;Nr lokalu adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera;Kod pocztowy adresu siedziby/głównego miejsca wykonywania działalności gospodarczej dewelopera;Województwo adresu lokalu, w którym prowadzona jest sprzedaż;Powiat adresu lokalu, w którym prowadzona jest sprzedaż;Gmina adresu lokalu, w którym prowadzona jest sprzedaż;Miejscowość adresu lokalu, w którym prowadzona jest sprzedaż;Ulica adresu lokalu, w którym prowadzona jest sprzedaż;Nr nieruchomości adresu lokalu, w którym prowadzona jest sprzedaż;Nr lokalu adresu lokalu, w którym prowadzona jest sprzedaż;Kod pocztowy adresu lokalu, w którym prowadzona jest sprzedaż;Dodatkowe lokalizacje, w których prowadzona jest sprzedaż;Sposób kontaktu nabywcy z deweloperem;Województwo lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego;Powiat lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego;Gmina lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego;Miejscowość lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego;Ulica lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego;Nr nieruchomości lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego;Kod pocztowy lokalizacji przedsięwzięcia deweloperskiego lub zadania inwestycyjnego;Rodzaj nieruchomości: lokal mieszkalny, dom jednorodzinny;Nr lokalu lub domu jednorodzinnego nadany przez dewelopera;Cena m 2 powierzchni użytkowej lokalu mieszkalnego / domu jednorodzinnego [zł];Data od której cena obowiązuje cena m 2 powierzchni użytkowej lokalu mieszkalnego / domu jednorodzinnego;Cena lokalu mieszkalnego lub domu jednorodzinnego będących przedmiotem umowy stanowiąca iloczyn ceny m2 oraz powierzchni [zł];Data od której cena obowiązuje cena lokalu mieszkalnego lub domu jednorodzinnego będących przedmiotem umowy stanowiąca iloczyn ceny m2 oraz powierzchni;Cena lokalu mieszkalnego lub domu jednorodzinnego uwzględniająca cenę lokalu stanowiącą iloczyn powierzchni oraz metrażu i innych składowych ceny, o których mowa w art. 19a ust. 1 pkt 1), 2) lub 3) [zł];Data od której obowiązuje cena lokalu mieszkalnego lub domu jednorodzinnego uwzględniająca cenę lokalu stanowiącą iloczyn powierzchni oraz metrażu i innych składowych ceny, o których mowa w art. 19a ust. 1 pkt 1), 2) lub 3);Rodzaj części nieruchomości będących przedmiotem umowy;Oznaczenie części nieruchomości nadane przez dewelopera;Cena części nieruchomości, będących przedmiotem umowy [zł];Data od której obowiązuje cena części nieruchomości, będących przedmiotem umowy;Rodzaj pomieszczeń przynależnych, o których mowa w art. 2 ust. 4 ustawy z dnia 24 czerwca 1994 r. o własności lokali;Wyszczególnienie cen pomieszczeń przynależnych, o których mowa w art. 2 ust. 4 ustawy z dnia 24 czerwca 1994 r. o własności lokali [zł];Data od której obowiązuje cena wyszczególnionych pomieszczeń przynależnych, o których mowa w art. 2 ust. 4 ustawy z dnia 24 czerwca 1994 r. o własności lokali;Wyszczególnienie praw niezbędnych do korzystania z lokalu mieszkalnego lub domu jednorodzinnego;Wartość praw niezbędnych do korzystania z lokalu mieszkalnego lub domu jednorodzinnego [zł];Data od której obowiązuje cena wartości praw niezbędnych do korzystania z lokalu mieszkalnego lub domu jednorodzinnego;Wyszczególnienie rodzajów innych świadczeń pieniężnych, które nabywca zobowiązany jest spełnić na rzecz dewelopera w wykonaniu umowy przenoszącej własność;Wartość innych świadczeń pieniężnych, które nabywca zobowiązany jest spełnić na rzecz dewelopera w wykonaniu umowy przenoszącej własność [zł];Data od której obowiązuje cena wartości innych świadczeń pieniężnych, które nabywca zobowiązany jest spełnić na rzecz dewelopera w wykonaniu umowy przenoszącej własność;Adres strony internetowej, pod którym dostępny jest prospekt informacyjny
TIO Sp. z o.o.;Spółka z o.o.;577547;x;5482670798;362576892;502-185-075;ksztefka@vp.pl;x;https://tio-cieszyn.pl/;Ślaskie;Cieszyński;Cieszyn;Cieszyn;ul. Folwarczna;13;x;43-400;Ślaskie;Cieszyński;Cieszyn;Cieszyn;ul. Folwarczna;13;x;43-400;X;telefon;Śląskie;Cieszyński;Cieszyn;Cieszyn;ul. Libelta 15;A;61-706;lokal mieszkalny;1A;12371,15;2026-01-22;600001;2026-01-22;614112;2026-01-22;;0;2026-01-22;x;x;x;x;x;x;x;x;x;x;https://tio-cieszyn.pl/libelta_residenceee
TIO Sp. z o.o.;Spółka z o.o.;577547;x;5482670798;362576892;502-185-075;ksztefka@vp.pl;x;https://tio-cieszyn.pl/;Ślaskie;Cieszyński;Cieszyn;Cieszyn;ul. Folwarczna;13;x;43-400;Ślaskie;Cieszyński;Cieszyn;Cieszyn;ul. Folwarczna;13;x;43-400;X;telefon;Śląskie;Cieszyński;Cieszyn;Cieszyn;Jastrzębia;x;43-400;dom jednorodzinny;33E;8188,82;2026-02-05;850000;2026-02-05;865000;2026-02-05;;0;2026-02-05;x;x;x;x;x;x;x;x;x;x;https://tio-cieszyn.pl/wzgorze_widokowe
TIO Sp. z o.o.;Spółka z o.o.;577547;x;5482670798;362576892;502-185-075;ksztefka@vp.pl;x;https://tio-cieszyn.pl/;Ślaskie;Cieszyński;Cieszyn;Cieszyn;ul. Folwarczna;13;x;43-400;Ślaskie;Cieszyński;Cieszyn;Cieszyn;ul. Folwarczna;13;x;43-400;X;telefon;Śląskie;Cieszyński;Cieszyn;Cieszyn;Jastrzębia;x;43-400;dom jednorodzinny;33F;8188,82;2026-02-05;850000;2026-02-05;850000;2026-02-05;;0;2026-02-05;x;x;x;x;x;x;x;x;x;x;https://tio-cieszyn.pl/wzgorze_widokowe
TIO Sp. z o.o.;Spółka z o.o.;577547;x;5482670798;362576892;502-185-075;ksztefka@vp.pl;x;https://tio-cieszyn.pl/;Ślaskie;Cieszyński;Cieszyn;Cieszyn;ul. Folwarczna;13;x;43-400;Ślaskie;Cieszyński;Cieszyn;Cieszyn;ul. Folwarczna;13;x;43-400;X;telefon;Śląskie;Cieszyński;Cieszyn;Cieszyn;Jastrzębia;x;43-400;dom jednorodzinny;33H;8188,82;2026-02-05;850000;2026-02-05;850000;2026-02-05;;0;2026-02-05;x;x;x;x;x;x;x;x;x;x;https://tio-cieszyn.pl/wzgorze_widokowe
TIO Sp. z o.o.;Spółka z o.o.;577547;x;5482670798;362576892;502-185-075;ksztefka@vp.pl;x;https://tio-cieszyn.pl/;Ślaskie;Cieszyński;Cieszyn;Cieszyn;ul. Folwarczna;13;x;43-400;Ślaskie;Cieszyński;Cieszyn;Cieszyn;ul. Folwarczna;13;x;43-400;X;telefon;Śląskie;Cieszyński;Cieszyn;Cieszyn;Jastrzębia;x;43-400;dom jednorodzinny;33K;8188,82;2026-02-06;850000;2026-02-06;850000;2026-02-06;;0;2026-02-06;x;x;x;x;x;x;x;x;x;x;https://tio-cieszyn.pl/wzgorze_widokowe
TIO Sp. z o.o.;Spółka z o.o.;577547;x;5482670798;362576892;502-185-075;ksztefka@vp.pl;x;https://tio-cieszyn.pl/;Ślaskie;Cieszyński;Cieszyn;Cieszyn;ul. Folwarczna;13;x;43-400;Ślaskie;Cieszyński;Cieszyn;Cieszyn;ul. Folwarczna;13;x;43-400;X;telefon;Śląskie;Cieszyński;Cieszyn;Cieszyn;Jastrzębia;x;43-400;dom jednorodzinny;33L;8670,52;2026-02-06;900000;2026-02-06;900000;2026-02-06;;0;2026-02-06;x;x;x;x;x;x;x;x;x;x;https://tio-cieszyn.pl/wzgorze_widokowe
TIO Sp. z o.o.;Spółka z o.o.;577547;x;5482670798;362576892;502-185-075;ksztefka@vp.pl;x;https://tio-cieszyn.pl/;Ślaskie;Cieszyński;Cieszyn;Cieszyn;ul. Folwarczna;13;x;43-400;Ślaskie;Cieszyński;Cieszyn;Cieszyn;ul. Folwarczna;13;x;43-400;X;telefon;Śląskie;Cieszyński;Cieszyn;Cieszyn;Jastrzębia;x;43-400;dom jednorodzinny;33M;8670,52;2026-02-06;900000;2026-02-06;900000;2026-02-06;;0;2026-02-06;x;x;x;x;x;x;x;x;x;x;https://tio-cieszyn.pl/wzgorze_widokowe
TIO Sp. z o.o.;Spółka z o.o.;577547;x;5482670798;362576892;502-185-075;ksztefka@vp.pl;x;https://tio-cieszyn.pl/;Ślaskie;Cieszyński;Cieszyn;Cieszyn;ul. Folwarczna;13;x;43-400;Ślaskie;Cieszyński;Cieszyn;Cieszyn;ul. Folwarczna;13;x;43-400;X;telefon;Śląskie;Cieszyński;Cieszyn;Cieszyn;Jastrzębia;x;43-400;dom jednorodzinny;33N;8670,52;2026-02-06;900000;2026-02-06;900000;2026-02-06;;0;2026-02-06;x;x;x;x;x;x;x;x;x;x;https://tio-cieszyn.pl/wzgorze_widokowe
TIO Sp. z o.o.;Spółka z o.o.;577547;x;5482670798;362576892;502-185-075;ksztefka@vp.pl;x;https://tio-cieszyn.pl/;Ślaskie;Cieszyński;Cieszyn;Cieszyn;ul. Folwarczna;13;x;43-400;Ślaskie;Cieszyński;Cieszyn;Cieszyn;ul. Folwarczna;13;x;43-400;X;telefon;Śląskie;Cieszyński;Cieszyn;Cieszyn;Jastrzębia;x;43-400;dom jednorodzinny;33R;8188,82;2026-02-06;850000;2026-02-06;850000;2026-02-06;;0;2026-02-06;x;x;x;x;x;x;x;x;x;x;https://tio-cieszyn.pl/wzgorze_widokowe
TIO Sp. z o.o.;Spółka z o.o.;577547;x;5482670798;362576892;502-185-075;ksztefka@vp.pl;x;https://tio-cieszyn.pl/;Ślaskie;Cieszyński;Cieszyn;Cieszyn;ul. Folwarczna;13;x;43-400;Ślaskie;Cieszyński;Cieszyn;Cieszyn;ul. Folwarczna;13;x;43-400;X;telefon;Śląskie;Cieszyński;Cieszyn;Cieszyn;Jastrzębia;x;43-400;dom jednorodzinny;33S;8188,82;2026-02-06;850000;2026-02-06;850000;2026-02-06;;0;2026-02-06;x;x;x;x;x;x;x;x;x;x;https://tio-cieszyn.pl/wzgorze_widokowe
TIO Sp. z o.o.;Spółka z o.o.;577547;x;5482670798;362576892;502-185-075;ksztefka@vp.pl;x;https://tio-cieszyn.pl/;Ślaskie;Cieszyński;Cieszyn;Cieszyn;ul. Folwarczna;13;x;43-400;Ślaskie;Cieszyński;Cieszyn;Cieszyn;ul. Folwarczna;13;x;43-400;X;telefon;Śląskie;Cieszyński;Cieszyn;Cieszyn;Karola Szymanowskiego;1A;43-400;lokal mieszkalny;3;7517,32;2026-02-06;575000;2026-02-06;575000;2026-02-06;;0;2026-02-06;x;x;x;x;x;x;x;x;x;x;https://tio-cieszyn.pl/apartamenty_liburnia
TIO Sp. z o.o.;Spółka z o.o.;577547;x;5482670798;362576892;502-185-075;ksztefka@vp.pl;x;https://tio-cieszyn.pl/;Ślaskie;Cieszyński;Cieszyn;Cieszyn;ul. Folwarczna;13;x;43-400;Ślaskie;Cieszyński;Cieszyn;Cieszyn;ul. Folwarczna;13;x;43-400;X;telefon;Śląskie;Cieszyński;Cieszyn;Cieszyn;Karola Szymanowskiego;1A;43-400;lokal mieszkalny;7;7523,22;2026-02-06;575000;2026-02-06;575000;2026-02-06;;0;2026-02-06;x;x;x;x;x;x;x;x;x;x;https://tio-cieszyn.pl/apartamenty_liburnia
TIO Sp. z o.o.;Spółka z o.o.;577547;x;5482670798;362576892;502-185-075;ksztefka@vp.pl;x;https://tio-cieszyn.pl/;Ślaskie;Cieszyński;Cieszyn;Cieszyn;ul. Folwarczna;13;x;43-400;Ślaskie;Cieszyński;Cieszyn;Cieszyn;ul. Folwarczna;13;x;43-400;X;telefon;Śląskie;Cieszyński;Cieszyn;Cieszyn;Jastrzębia;x;43-400;dom jednorodzinny;e;1;2026-02-06;1;2026-02-06;1;2026-02-06;;0;2026-02-06;x;x;x;x;x;x;x;x;x;x;https://tio-cieszyn.pl/wzgorze_widokowe
